"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",2000,1,1,0,0,9965,0,0.000950322893941894,0.0626154148526092,0.325937680927757,0.395902262408692,0.14085359576493,0.0471941319620539,0.0175044708908749,0.00711586382469779,0.00192625647444289
"2",2001,1,1,0,0,10580,4.50411173957583e-06,0.000951109926523247,0.040439131510383,0.203973657310234,0.500974477733775,0.187153667294649,0.0443992553325974,0.0135894368238627,0.00679650438923572,0.00171825556700034
"3",2002,1,1,0,0,11603,1.33905634310015e-06,0.000722985537090315,0.10659549395703,0.262579535633853,0.431886048261813,0.157266712739393,0.0294767561317626,0.00744720620434028,0.00290313287706239,0.001120789601313
"4",2003,1,1,0,0,14475,8.48201699672955e-06,0.00016869301004779,0.0476329475070143,0.296464458672021,0.41264595224894,0.176976775793514,0.0509254924279198,0.010945916084432,0.00337930458746808,0.000851977651646344
"5",2004,1,1,0,0,12144,0,0.000557840183224192,0.053827914520192,0.271194722154418,0.485161312355548,0.131642133322557,0.0408040269315304,0.0111927434282454,0.00456358396589826,0.00105572313838769
"6",2005,1,1,0,0,11639,2.35555109441265e-06,0.000451232957550259,0.0403117503018477,0.181346624159232,0.437928140695572,0.241403661681632,0.0669266873809011,0.0212814269697322,0.00878075116738018,0.00156736913505799
"7",2006,1,1,0,0,9075,1.33137156551851e-05,0.000187131752562256,0.044487854977721,0.219393582027094,0.378971456901833,0.222073941664687,0.0945164107030165,0.0271810176442249,0.0105142046618057,0.00266108595140082
"8",2007,1,1,0,0,7118,0,0.021015924293325,0.0466224798171102,0.220124000966701,0.493727439565482,0.0803125858880716,0.12369848892824,0.0090767097765826,0.00377417237047668,0.00164819839401078
"9",2008,1,1,0,0,8429,1.1285230581576e-05,0.0617464147800843,0.171686879948391,0.153470089241057,0.26211105971367,0.290751799565213,0.0134907637786128,0.0323051477967409,0.0112426912568742,0.00318386868877429
"10",2009,1,1,0,0,7465,0,0.000422055247529832,0.551642218078618,0.11517812145368,0.142730193215242,0.0911554425726431,0.0874707719465043,0.00368046034908029,0.0040766845998008,0.00364405253690231
"11",2010,1,1,0,0,6652,0,0.0183389081614956,0.164914013842688,0.53983947322504,0.163104307739769,0.0763587513802303,0.0191208086814763,0.0135069113913764,0.00381589656035081,0.00100092901757315
"12",2011,1,1,0,0,8739,0,0.00480684040253377,0.276259553046518,0.245387099211775,0.418527702405272,0.0328535542151623,0.0155489424348845,0.00250668901967962,0.0033226513287679,0.000786967935406497
"13",2012,1,1,0,0,9342,0,0.0221836930005878,0.0179384019203279,0.562837948849642,0.213933518472521,0.169315696017898,0.00781023375331353,0.0039324566803476,0.00112715947005617,0.000920891835305229
"14",2013,1,1,0,0,11094,0,0.0113086015863452,0.244481064920946,0.0577335416284179,0.617561895908182,0.058641548037944,0.00835624653515573,0.00107336117664676,0.000394871733796046,0.000448868472566807
"15",2014,1,1,0,0,12129,0,0.00100191873516307,0.249570266855759,0.362347936537526,0.111344184079244,0.267004353606434,0.00626201989388646,0.00195574945322603,0.00041561467632399,9.79561624373466e-05
"16",2015,1,1,0,0,11200,0,0.000880770299444253,0.0553016644599427,0.504974409909478,0.379167115376839,0.0325895043159146,0.0250666218742855,0.00124340433328164,0.000621006655709249,0.000155502775104889
"17",2016,1,1,0,0,9498,0,0.000217854357033171,0.0904910484368742,0.218177571711271,0.583322956901722,0.0947833125039509,0.0065841373983174,0.00598330382734382,0.000362902133277435,7.69127302095864e-05
"18",2017,1,1,0,0,8317,1.15139735442986e-05,0.000518590368980934,0.0248157980583973,0.473800914847398,0.353659414131506,0.134175393997101,0.0117132018137776,0.00028812603999957,0.000975524782171227,4.15219871238919e-05
"19",2018,1,1,0,0,6390,0,0.000613610383666672,0.0607341559645989,0.212225972166344,0.628068879586982,0.0867957656944252,0.00934780985780321,0.00185703858178338,0.000335333930514914,2.14338338814744e-05
"20",2019,1,1,0,0,4605,1.05933637193821e-05,0.00534291008217705,0.0522054027537906,0.287961905808665,0.516222237759642,0.115267243390253,0.0190019274614006,0.00344571210006915,0.000484863370899907,5.72039093834167e-05
"21",2020,1,1,0,0,3526,0,0.00767477948692964,0.102220408075556,0.100280180443166,0.385113361403462,0.115784320785602,0.200299380009296,0.0829548421649364,0.00379954848513011,0.00187317914592292
"22",2021,1,1,0,0,2894,0,0.00248322212706112,0.132490159751032,0.178144804295286,0.323649234140726,0.195613471207459,0.0807354264201297,0.0775346438758459,0.00878089836420832,0.000568139818251783
"23",2022,1,1,0,0,3871,5.9590781569991e-06,0.00894798034176904,0.0920453098122973,0.512535130887988,0.153643664546316,0.140886913395009,0.0678007598297518,0.00918345011997654,0.0144002417121975,0.000550590276537988
"24",2023,1,1,0,0,3796,0,0.00738189317642253,0.159506661895626,0.326911594337706,0.377255749863102,0.059317750981039,0.0248618466613805,0.0249775953867719,0.0193859384908254,0.000400969207127557
"25",2024,1,1,0,0,4532,8.68200464259814e-06,0.00796067445858346,0.206171336839451,0.39568943928145,0.273445429213944,0.0869518080507578,0.0175720701031456,0.0115767171703647,0.000556110551267225,6.7732326393188e-05
