"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",1982,1,2,2,0,313,5.96759246020835e-05,0.00945089759339101,0.0318899977347603,0.00724120970219207,0.0124034794779433,0.0827589086498794,0.109702813219956,0.0729887424955279,0.137682502761531,0.111664074911673,0.111299775819425,0.117906489731131,0.094619321339094,0.0555982802930622,0.027496175394041,0.0125782109094305,0.00319086506832329,0.000759736533427431,0.000708842440609671,0,0,0,0,0,6.12489763121768e-05,0.0122805358837535,0.0321582657601263,0.00885155000886009,0.0174552891832907,0.0808610697804165,0.117911051524283,0.0771542725820171,0.149273470591776,0.140617242694777,0.133567320161489,0.10563774882986,0.0708209089916617,0.0338404095452945,0.0119936367069871,0.00436822235599838,0.00219854289004286,0.000949213533053529,0,0,0,0,0,0
"2",1983,1,2,2,0,255,0.000754245368052433,0.132828489860206,0.133156528693057,0.0197704104776602,0.0116932924102229,0.0555627555538299,0.0515810591381927,0.0415723001996133,0.1022686669183,0.0942342094230661,0.0896260665633634,0.0772382670268061,0.0734178340256004,0.0568704257456827,0.0359287285330697,0.0173825272865971,0.00358471922711882,0.00192014240878558,0.000430430926455749,0.000178900214319511,0,0,0,0,0.000341148277917262,0.138860879575141,0.139718298269829,0.0221198754478093,0.0124421531932729,0.0528566981766629,0.0480949984025623,0.0406917419881788,0.105601815710853,0.101393662987382,0.113637588636309,0.0937472236483425,0.066655024482947,0.0421570318630889,0.013732801177238,0.00572773671247803,0.00109546374973553,0.000952154119759833,0.000173703580493241,0,0,0,0,0
"3",1984,1,2,2,0,264,0.000524460913448614,0.0154399309111098,0.0120137364893903,0.049682472412698,0.18796685044364,0.198980185595484,0.0707695525888747,0.036645296715214,0.0423219625859319,0.0420025895638166,0.0653544960931324,0.0762892902821832,0.0670676937730986,0.0544059239361731,0.0410782433398108,0.0213638268965157,0.0110957898430099,0.00585317182354141,0.00100559833041291,0.000138927462513858,0,0,0,0,0.000530556994017279,0.0153369143630766,0.0140937902271386,0.0458583585608722,0.195691141357345,0.202763681311454,0.0739906331361406,0.0303389874634659,0.0463122505250802,0.0540493695996787,0.0781128014051445,0.0838616576518782,0.0798207711923592,0.0437161204330005,0.0221165890986596,0.00764968053224404,0.00468664735197826,0.000480209764293132,0.000494047783694281,9.57912484786456e-05,0,0,0,0
"4",1985,1,2,2,0,345,0.00026776539136116,0.0387139594483411,0.108471545940917,0.150498781900353,0.038698078883224,0.0712909351747721,0.0958066359923659,0.135994210244068,0.115763826793587,0.0440023468999908,0.0298503099293738,0.0293469986272952,0.0347692061617711,0.0372781239039331,0.0348264099949763,0.0184682194354652,0.0100191715696888,0.00333175520572085,0.00199087722201622,0.000610841280778884,0,0,0,0,0.000254378475990035,0.0441958430758688,0.125625509316261,0.158992209306465,0.0372399053974162,0.0670137763637624,0.0938596377774595,0.139908806284826,0.10682755544039,0.0363300433196585,0.0269319978896662,0.0345689435270266,0.0460777085709405,0.0420542225772499,0.0239377421255083,0.011647242679778,0.00325360305251122,0.00121919085988375,6.16839593387416e-05,0,0,0,0,0
"5",1986,1,2,2,0,349,0.00152166960273556,0.0380738533942381,0.0387343678761733,0.0172867770142183,0.15896247415452,0.194096625815623,0.114127423587139,0.0481993841119758,0.0667514012799646,0.0826181288129644,0.0746206386583099,0.04338024950032,0.0268993014586967,0.0249157261661383,0.0254929458031563,0.0218093139437185,0.0106134698970796,0.00786670300587942,0.0023271096011008,0.00170243631604889,0,0,0,0,0.00151899190491825,0.0398065080678314,0.0431429735796858,0.0158092601483893,0.147876373768926,0.202426028158149,0.113786243072095,0.0500737042716317,0.0721541381077632,0.0909901492992342,0.0814035538232378,0.0380398026783163,0.0270728476194496,0.0336746717512026,0.0225082955551862,0.0125983062531346,0.00486443215263361,0.00180092369274461,0.000452796095471069,0,0,0,0,0
"6",1987,1,2,2,0,339,0,0.00708785063960453,0.0481672568012288,0.0440013697874095,0.0551445274140755,0.132793737128232,0.092599672755612,0.133983309874809,0.14223860632584,0.0715130787150084,0.0517721157509383,0.0555366841742995,0.0616045438081538,0.0428506849705826,0.0203308456977682,0.0186956487954364,0.00980464125853789,0.00775962710845813,0.00270940266555083,0.0013194689777201,0,8.6927350734699e-05,0,0,0,0.00908495709024907,0.0437457386997681,0.0429725819796586,0.0537056530398147,0.143421090030746,0.0962467899865841,0.130056390226572,0.138690191169403,0.0853253014666859,0.0610573074682397,0.0665225335394626,0.0567380668286364,0.0344860595252721,0.0196727163458746,0.0124881429276637,0.00376781646201873,0.00156215117291965,0.000456512040430977,0,0,0,0,0
"7",1988,1,2,2,0,339,0,0.00527988232458785,0.012254751782634,0.01931143852661,0.0426584846700016,0.0747567147435827,0.103867351924972,0.094501485256529,0.136549679145652,0.12633852074511,0.106875602632671,0.0909162699405064,0.0613432162550582,0.0397116296224322,0.0354907692436043,0.0282939868673135,0.00955069780258114,0.00585840266181194,0.00443606824214779,0.00119501841785869,5.93948795484609e-05,0.000750634314787716,0,0,0,0.00617561183182138,0.0172488122948374,0.0198916400910458,0.0462385373607422,0.0760339574677012,0.102365987546334,0.106935588340675,0.14583744944936,0.134598709478593,0.115733265880271,0.0790123533796131,0.0529027483714642,0.0445737506130747,0.0235056098975902,0.021508326523831,0.00586549573292026,0.000954687882973285,0.000475608352965616,0.00014185950418601,0,0,0,0
"8",1989,1,2,2,0,293,0.000255706486607372,0.0163345957350859,0.0437192490849384,0.0084115167220352,0.0148352398101935,0.0158255583771744,0.0420906445310545,0.0587711146978106,0.0865101037554761,0.129045775826831,0.129265699813863,0.10622096613421,0.0877075390741436,0.0979490044554088,0.0563799013877804,0.0411763654231163,0.0297643345467598,0.0169379987272369,0.0119665080548614,0.00683217735541219,0,0,0,0,0.000267995412650069,0.0184593611686502,0.0481048571462068,0.014046403191427,0.00727454894975562,0.0233064947129292,0.0589254702053535,0.0595240233367727,0.0884400850235449,0.107976821799971,0.129928794412758,0.123419938748888,0.10125340266928,0.072790067342105,0.0785743992190987,0.0262221841061527,0.0191061974685938,0.0112558004248277,0.00585416324832113,0.00526899141271313,0,0,0,0
"9",1990,1,2,2,0,329,0.00453593675862937,0.110901465698068,0.162479806003824,0.0354799682808045,0.0579329826553618,0.0923923174403089,0.0731326190215681,0.0415438250777227,0.0296665087587839,0.041659644235835,0.0565874458220893,0.0776344083099607,0.0478910300653815,0.0550465372315264,0.0430669497644335,0.0334096460255287,0.0172208085513084,0.00800039102666868,0.00679623257541926,0.00373836018317284,0.000883116513604943,0,0,0,0.00449654703458947,0.122110089243179,0.176957103714529,0.0583252097199764,0.0590012632390194,0.0962747866956207,0.0720147240245526,0.04342443540441,0.0400432543312521,0.0391050608218506,0.0678414589474183,0.0714011415947546,0.0552829853221894,0.0412887709392392,0.0217274603380088,0.0124583832129863,0.0121874137186033,0.00356622963063949,0.00249368206718152,0,0,0,0,0
"10",1991,1,2,2,0,313,0.000874319665704975,0.0663211443134447,0.0849963815820658,0.0554303807009097,0.119544268642209,0.225423524661948,0.137925666270728,0.0548856816286058,0.0458755184283224,0.0437312470607239,0.0404958051482565,0.0238505264083602,0.0223229008039709,0.0220304507735216,0.0162381928909983,0.019743898928287,0.00874612540393755,0.0045878072359407,0.00455169134086077,0.00194247492529627,0.000481993185908509,0,0,0,0.000898162184417697,0.0757750103164815,0.0996655681664784,0.0673333311173228,0.109540793193697,0.210869274520725,0.143961392852583,0.0539624067900546,0.0369325233982707,0.0423958168290981,0.0280745803389568,0.0358016575771218,0.0346183878169737,0.0273348096592246,0.0140254154659837,0.0114653293382964,0.00495327102440063,0.0010373509950767,0.00135491841483735,0,0,0,0,0
