"","YEAR","Seas","FltSvy","Gender","Part","Ageerr","Lgin_lo","Lgin_hi","Nsamp","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1",1984,7,2,3,0,0,1,120,264,0.00936544002322794,0.149648593839229,0.384039355012781,0.115056928672651,0.0982552029687046,0.0746427816648864,0.0766178700968205,0.0516407280217167,0.0225089276068506,0.00765597804716839,0.010568194045965,0.0101453510981924,0.0996238618897053,0.504157847251042,0.0543249251121166,0.0742312011517871,0.0607425725653357,0.039382984396824,0.0809328445749671,0.0522999685249337,0.0241458143883562,1.26290467399669e-05
"2",2000,7,2,3,0,0,1,120,355,0,0.230516043210585,0.102214093156299,0.193581713895285,0.25306767103651,0.144605354846373,0.055983599947338,0.0108393337250804,0.00725919119465416,0.00025648137993778,0.00167651760793789,0,0.232279143130264,0.127612861955491,0.136039137476133,0.239618104444887,0.165824596137971,0.0618338847582931,0.0108025301132541,0.0161088277987928,0.00461304672905349,0.00526786745586172
"3",2001,7,2,3,0,0,1,120,366,0,0.298928567858505,0.234209112643083,0.197354312293862,0.0956537593560247,0.0822575560948288,0.0663063705772699,0.0166718931806582,0.00785297288140806,0.000417834446515429,0.00034762066784445,0,0.281570449091237,0.2501257927835,0.184404779355901,0.0835365329546721,0.0935401597655531,0.0702253282164631,0.0298152937064579,0.00285974837566731,0.00119290738898184,0.00272900836156698
"4",2002,7,2,3,0,0,1,120,364,0.000473502531271927,0.090040702327712,0.19462076773237,0.312150767335568,0.232992414503289,0.0732955547252444,0.0461885905913339,0.0400045768357796,0.00899454687874433,0.00123857653868703,0,0.000461573249403004,0.0660028944217984,0.185477395255498,0.303462371118245,0.255296596337309,0.0730871531790802,0.0730113637886402,0.0328230012096147,0.00664995109205073,0.00249937620974279,0.00122832413861748
"5",2003,7,2,3,0,0,1,120,363,0,0.172560932248471,0.155253171389305,0.231263890717363,0.222393906481742,0.130068921506409,0.0404053719178879,0.0290331747693365,0.0141740699328005,0.00316295280312336,0.00168360823356123,0,0.169457798634256,0.163779982309119,0.259841902472488,0.205441401235502,0.109169542914296,0.0439545109813145,0.0289142267583765,0.0155674886858228,0.00322175636703371,0.000651389641791383
"6",2004,7,2,3,0,0,1,120,361,0,0.151216007252317,0.167294615692342,0.287164968935093,0.122975605306216,0.122143038754076,0.0822417110816,0.0413113358393967,0.0212369942717836,0.00393268712697448,0.000483035740200747,0,0.132059362998598,0.161401093678453,0.259307559886186,0.132759317613877,0.146320379174183,0.108171971133579,0.0300154854399873,0.0152155785453587,0.00954106279452349,0.00520818873525346
"7",2005,7,2,3,0,0,1,120,360,0,0.171490387809285,0.246054205580589,0.214261657667012,0.126514535127665,0.0674273629904635,0.0776485029870174,0.0579038883294759,0.0180217202463237,0.0129456453374753,0.00773209392469319,0,0.179941491963128,0.235082233070387,0.20215741387741,0.127162205310282,0.0626623247945991,0.0905495506298723,0.056819332564742,0.0318569863339992,0.00598820124730607,0.0077802602082747
"8",2006,7,2,3,0,0,1,120,354,0,0.313527415674604,0.15293299670565,0.174078031412718,0.123621131446997,0.0963781234521977,0.0637469139456351,0.0422289824486506,0.0219352321677485,0.00742853219944042,0.00412264054635911,0,0.320014265888411,0.132528476537742,0.165608521118631,0.119621480602473,0.0949908457378879,0.0630189167073045,0.0526319489522342,0.0359917620129834,0.0118608156719345,0.00373296677039901
"9",2007,7,2,3,0,0,1,120,368,0,0.693656604578464,0.101074174015055,0.0722052152660656,0.04079298356271,0.0460733392728066,0.0159611219905518,0.0137622222439774,0.00804847966255552,0.00559975790358187,0.00282610150423277,0,0.689102213179221,0.0927075065034873,0.0661719138792961,0.0499736826387528,0.0464249465457693,0.0214316645892623,0.0168425134433184,0.0081452856580251,0.00504931247641488,0.00415096108645235
"10",2008,7,2,3,0,0,1,120,338,0,0.204427659489692,0.447569064003611,0.148873285242371,0.0881403788214054,0.0507979693349069,0.0314652289010671,0.00617460102641865,0.0110216803917581,0.0072219094675403,0.00430822332122975,0,0.206688921362733,0.444609811713681,0.146115913089747,0.0882508345967475,0.0508791300963582,0.0297098489100088,0.0151123581752669,0.00847312514309841,0.00408297540399213,0.00607708150836707
