"","YEAR","Seas","FltSvy","Gender","Part","Ageerr","Lgin_lo","Lgin_hi","Nsamp","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"1","2000","BS_A","1","3","0","1","4.5","119.5","4025","0","0","0.000116682644018349","0.0131888969283459","0.13163513204741","0.189425265307987","0.109233684358587","0.0376860241644545","0.0109891896633776","0.00589351296124035","0.00183161192457977","0","0","4.65154487707889e-05","0.0143342490840407","0.141531808321585","0.209765727457905","0.0991597109620772","0.0252858480712497","0.00619262007579786","0.00276328947614362","0.000920231102429521"
"2","2000","BS_B","2","3","0","1","4.5","119.5","5918","0","0","0.000331544098754922","0.0321987760432009","0.197497175742508","0.18126746836611","0.050098597378772","0.0211908583512903","0.0121537925386905","0.00441425310615536","0.000847534374518281","0","0","0.00040295119649624","0.0490789573232187","0.168309013518917","0.216956444712906","0.0462459318057448","0.0135713297612938","0.0040254560805486","0.0011818423013498","0.000228073299525988"
"3","2001","BS_A","1","3","0","1","4.5","119.5","3148","0","0","6.11585037082221e-05","0.00655701597497875","0.0648766047770904","0.236704367978892","0.139953264683964","0.0348908291686473","0.0101784867942383","0.00481048167383006","0.00196779044465085","0","0","4.59335626834107e-06","0.00722415061641172","0.077759799601072","0.281410641064438","0.101831042956403","0.0233750145293547","0.00567853874086626","0.00217628355157986","0.000539935583606076"
"4","2001","BS_B","2","3","0","1","4.5","119.5","7413","0","0","0.000269550094093872","0.0285226931973158","0.110780574786485","0.235987721298681","0.0884609906153543","0.0219389004375228","0.00797798976878644","0.00512262667807653","0.000938953123683379","0","7.61295344113554e-06","0.00122221914856974","0.0279645887639429","0.129721239484217","0.255959950941038","0.0662497919529956","0.0127813072598672","0.00430415823259611","0.00158059174761658","0.000208539515716145"
"5","2002","BS_A","1","3","0","1","4.5","119.5","4233","0","0","0.000379100974342344","0.0321035779386088","0.0873813332730954","0.228282511125839","0.12491420377121","0.0195570369155907","0.00431301175769738","0.00217483024266321","0.000894394000953861","0","0","0.000270238164550438","0.0351597858309276","0.105093964713608","0.264608605570038","0.0797336655205488","0.0105671651298063","0.00302765516510746","0.000852060737485415","0.000686859167927133"
"6","2002","BS_B","2","3","0","1","4.5","119.5","7352","0","0","0.000314382204661833","0.0622723050072699","0.158070788792316","0.183264520145217","0.0681104609257445","0.0199372516151453","0.00510483491367268","0.00233087805724213","0.000594578338730602","0","2.71539310034137e-06","0.000470884113249223","0.0723828106927622","0.167577495188606","0.197109207477312","0.0494073284380351","0.00956634295525252","0.00266267263730124","0.000698679203505828","0.000121863900875424"
"7","2003","BS_A","1","3","0","1","4.5","119.5","5222","0","0","9.46952996150264e-05","0.020957583603445","0.125318198497958","0.191233144680299","0.115395548205297","0.0381825692330976","0.00603679704729276","0.00176787401115353","0.0010135894218423","0","0","7.12651089786831e-05","0.0232052145231199","0.132578570692447","0.230891059631423","0.0940426956149995","0.0163637629023078","0.00213044445071841","0.000444551276098343","0.000272435799906905"
"8","2003","BS_B","2","3","0","1","4.5","119.5","9234","0","1.4308340459191e-05","0.000102463713408415","0.0237667086831119","0.153846261543634","0.195545492085766","0.0824521019871397","0.0306626358576957","0.00987308047945202","0.00343098232120882","0.000305964988124944","0","2.07957694547747e-06","5.46701445960386e-05","0.0256341146556796","0.175463825188439","0.209154151370856","0.067333545190384","0.0171696946607248","0.00409507516580062","0.000965202283175797","0.000127641763398879"
"9","2004","BS_A","1","3","0","1","4.5","119.5","4192","0","0","1.69497894096495e-05","0.019244641340499","0.1186205235643","0.242012030853602","0.0851003038636247","0.0252304779925921","0.00590482146870685","0.00274615842188469","0.00112409270538078","0","0","3.94391754086611e-05","0.019324975034519","0.139369200258282","0.260375395881815","0.0644843768152829","0.0120141840843458","0.00228430619693735","0.00154120063827832","0.000566921915130684"
"10","2004","BS_B","2","3","0","1","4.5","119.5","7933","0","0","0.000392162945745545","0.0326246436659448","0.126837511574483","0.228217270998259","0.0658064403623466","0.0299238152124319","0.0115896491706138","0.00428251351307241","0.00032599255710284","0","0","0.000582963467656164","0.0369514404672935","0.155836730766261","0.235044051426899","0.0492857653255206","0.0174074294471652","0.00407270554229032","0.000788056625181761","3.08569317328876e-05"
