"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1",2000,1,1,0,0,9939,0,0.000245575326964486,0.0246826737052826,0.172348986585604,0.184004740543178,0.0725982957851442,0.0280252793899238,0.0117168538854266,0.00507945318359307,0.00129814159488403,0,0.00025467870086193,0.0350081190876816,0.159747853447296,0.212291763981603,0.066703871050931,0.0184009866552599,0.00515911085302816,0.00187614501616542,0.000557471207172977
"2",2001,1,1,0,0,10561,0,0.000201954374582197,0.0200761042462094,0.0934957229490359,0.23603486113718,0.107780492346302,0.0272667514136327,0.00873209248883543,0.00506959175515459,0.0013424292890686,4.44815073211367e-06,0.000721500566815459,0.0193065487023205,0.108065101387115,0.266144209109112,0.0812876587744586,0.0174493136132635,0.004824853797815,0.00184358229168571,0.000352783606681819
"3",2002,1,1,0,0,11585,0,0.000352261075112427,0.0477588700653414,0.123507129755868,0.205265050051978,0.0956236052169865,0.0197897974529895,0.00474147157603218,0.00219646024869645,0.000765354556995412,1.39479386911511e-06,0.000374786807309612,0.0564528061776769,0.136618511280999,0.228941560097343,0.063562826428446,0.0100745183077197,0.00282925896348596,0.000762330619448894,0.000382006523701915
"4",2003,1,1,0,0,14456,7.20467030922431e-06,9.87280634035152e-05,0.0223407062420188,0.139778431351097,0.193353865816916,0.0988631621532996,0.0343429269835586,0.00790589371088973,0.00265327709124868,0.000655803917259044,1.04712917965815e-06,6.30055593242259e-05,0.0244453026581365,0.15487295753616,0.220238812001374,0.079777410015882,0.0166073158991703,0.00306432655410208,0.000730415229014459,0.000199407417656251
"5",2004,1,1,0,0,12125,0,0.000197974917123572,0.0257423024146386,0.122670028166984,0.235509610231307,0.0757103607866679,0.0273592096274645,0.00857102962345579,0.00350309450157103,0.000736389730787505,0,0.00027953818008197,0.0271477442415606,0.146791627508035,0.249379754902264,0.0575334527951821,0.0142875846652055,0.00302714868198982,0.00122536979756876,0.000327779228112086
"6",2005,1,1,0,0,11609,2.40628368640693e-06,0.000256883664754786,0.0203654058301883,0.0835011608046159,0.193291366798471,0.13730938718566,0.0423950792616491,0.0145245079816328,0.0069632000635529,0.00139060212578865,0,0.000193725320744846,0.0191953469985477,0.0966776834489054,0.244982976392345,0.104940909604592,0.0248186522029608,0.00703178383635695,0.00200270274624245,0.00015621944930451
"7",2006,1,1,0,0,9060,1.5872414253882e-05,5.03549810821775e-05,0.0212087053713005,0.0983434765757274,0.169660467258324,0.120823381671034,0.0609113581148093,0.0186580380509641,0.00814426284821716,0.00218408271428797,0,0.000129021209831734,0.0220393421003818,0.11949683793852,0.210207125843033,0.102726398293687,0.0337160923855429,0.00872697398667423,0.00250503981846571,0.000453168423863706
"8",2007,1,1,0,0,7106,0,0.00992136377230053,0.0231060753228577,0.0994251936683834,0.240184945634419,0.0426170285015796,0.0740002423856618,0.00643763297727938,0.00312135286001823,0.00118616487750014,0,0.0106715656452421,0.0220592106787215,0.118328533585668,0.256965112426121,0.0386175191796039,0.0496317738427105,0.00267026588772785,0.000614827061830437,0.000441191692375051
"9",2008,1,1,0,0,8405,1.00404614049345e-05,0.031216890231238,0.0827670525343207,0.0769677303189491,0.120591922401881,0.148949679259584,0.00848661261759476,0.0206643412718046,0.00814534417434072,0.00220038672888204,0,0.0270095520980632,0.0853206286142519,0.0787016061759544,0.146672629169825,0.14026896544468,0.0054280016868939,0.0124797343575401,0.00315549466896806,0.000963387783823118
"10",2009,1,1,0,0,7462,0,0.000317951270003985,0.273041103098483,0.0567992415799589,0.0683325197809601,0.045051812439789,0.0484966644231766,0.00240424405906728,0.00297926801529759,0.00257719533326375,0,0.000112999651679963,0.272072310983449,0.0588976920685664,0.0782773626347006,0.0484897122316662,0.0383915266923842,0.00138065297016271,0.00129500209681988,0.00108274067057161
"11",2010,1,1,0,0,6643,0,0.00725761008176783,0.0739963149324183,0.269580034473821,0.083307181241334,0.0413388819345195,0.0113141315175115,0.0095877357054833,0.0026744819257542,0.00094362818739088,0,0.0103973055005608,0.0861434033430829,0.27270961888706,0.0809005236155398,0.0361411688060491,0.00807150057311352,0.0042078537290892,0.00128601762610102,0.000142607919403332
"12",2011,1,1,0,0,8712,0,0.00229214260051155,0.131653702482853,0.115807708747413,0.21468932222417,0.0207840836246639,0.00954288651519623,0.001986345733908,0.00259870520445236,0.00064510286683177,0,0.00301146349549322,0.135923004798338,0.12234027905925,0.217559582200936,0.0129623409397463,0.00656855910808215,0.000612471062140548,0.000849304653730844,0.000172994682283006
