"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",2000,1,1,3,0,0,1,1.5,9939,0,0.000254309690228258,0.0255503635078333,0.178429041877877,0.19030971722297,0.0750461167943446,0.0290380966045954,0.0121224598936655,0.00525564948968314,0.00135960602091026,0,0.000245672985996661,0.0337710779413311,0.154203378708229,0.204974421951162,0.0644226310605524,0.017745463891677,0.00492910358417925,0.00180546810502586,0.000537420669739455
"2",2001,1,1,3,0,0,1,1.5,10561,0,0.000202539182069678,0.0201239278762618,0.0937413566079658,0.236011251227847,0.108647107717927,0.0274683871422225,0.00889570095202688,0.00504389170167902,0.00136309025595605,4.43677418431595e-06,0.000725429216274004,0.0192735533425934,0.107712160624682,0.265522493741496,0.0808768356875528,0.0173396925174298,0.00485883515511401,0.00183515715230263,0.000354153124414413
"3",2002,1,1,3,0,0,1,1.5,11585,0,0.000347285947681498,0.0481806683817158,0.124544217664747,0.2066388229366,0.0962429140916407,0.0199575688380089,0.00476937993278126,0.00222968167035654,0.000753774111168891,1.38158895419735e-06,0.000372274916978433,0.0560768566565228,0.135609223918054,0.227133747669741,0.0632085557179707,0.00999424364046594,0.00282827341634228,0.000731185493267445,0.000379943407001841
"4",2003,1,1,3,0,0,1,1.5,14456,7.35292029071113e-06,0.000100924503329153,0.0228378207076925,0.142858621858797,0.197769111395779,0.101294714581831,0.0351861074986968,0.00812793533225915,0.00276382649952422,0.000658657966064369,1.02426658797338e-06,6.15813463888886e-05,0.0239207646897582,0.151305232692207,0.215093359940666,0.077870341321289,0.0162857269046489,0.00296654532553636,0.000695417072253249,0.000194933176399628
"5",2004,1,1,3,0,0,1,1.5,12125,0,0.000194206845321501,0.0252516273789353,0.120455467687944,0.231251716378132,0.0742084348846803,0.0268220132872461,0.00841549169750944,0.00345377302578255,0.000717192739403149,0,0.000284596162774141,0.027665725424472,0.149313564420117,0.253980148724381,0.0587502713001003,0.0145494805514878,0.00311181464657049,0.0012407514014064,0.000333723443736907
"6",2005,1,1,3,0,0,1,1.5,11609,2.42045836195476e-06,0.000257404866803881,0.0204264696081685,0.083611834723655,0.193679891223063,0.137463632737266,0.0425975918544511,0.0145288964617466,0.00702110562626396,0.00141928322920578,0,0.000193505206892154,0.0191863064407307,0.0966111645965469,0.244250758260626,0.104782663279029,0.0247265480720714,0.0070433952072033,0.00204121971452232,0.000155908433393195
"7",2006,1,1,3,0,0,1,1.5,9060,1.49660681911885e-05,4.97646432385916e-05,0.0209643031715215,0.0971230054465399,0.167513180762755,0.119306854531657,0.0602346926925605,0.0182848368457786,0.00806144442970749,0.00216463613749061,0,0.000130692140493699,0.0223309458249565,0.121098469447623,0.212611438943325,0.104079623304019,0.0341662290544967,0.00891379346535457,0.00253366380285625,0.000417459287435781
"8",2007,1,1,3,0,0,1,1.5,7106,0,0.0103470398172076,0.0240957714380555,0.10350025165842,0.250438784424073,0.0442341348679543,0.0770882727143927,0.00666805021465743,0.00326040808143157,0.00124700500048018,0,0.0102032368846038,0.0210779197301863,0.113438545153458,0.246143364754106,0.0369933877642615,0.0476838979701685,0.00256832948992506,0.000589808636651927,0.000421791399967198
"9",2008,1,1,3,0,0,1,1.5,8405,1.05404542687079e-05,0.0327732747040677,0.0869439676005089,0.0809244176124573,0.126717979351862,0.156531848964817,0.00897830864199953,0.0217425853963601,0.00860377266283005,0.00231145964059029,0,0.0255978410900755,0.0809419217639796,0.074780041632586,0.139416955904841,0.132939126019283,0.00515923106155169,0.0117321452318152,0.00298157828482082,0.000913003981285464
"10",2009,1,1,3,0,0,1,1.5,7462,0,0.000327816957834164,0.281593751480585,0.0585784714760735,0.0702832040845378,0.046543447143993,0.0500340422428562,0.00246907177792895,0.00307499560299301,0.00266599500183575,0,0.000109444622215055,0.263412927494405,0.0571221897048078,0.0759384808380569,0.0470035257742291,0.0371959626359196,0.00133737701602575,0.00125922847975776,0.00105006766594543
