"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",1991,1,1,3,0,5257,0,4.56798980249486e-06,1.50990470815726e-05,3.97319408816782e-05,0.000573552087266475,0.00251376307853999,0.00324445765209283,0.00707189695570677,0.0263942399476692,0.0372813269959997,0.0419405417333658,0.0456950521924806,0.0667434313769679,0.0807296805458193,0.0716183668321294,0.054055212541606,0.0336816460040368,0.0226761639580657,0.0120467255639858,0.00489074768808525,0.00227502890293121,0.000352004325756013,1.88711666474064e-05,1.77301038863527e-06,0,5.6769820712865e-06,1.38394217857872e-05,3.51236373734772e-05,0.000583860307355556,0.00263660610233251,0.00332636221049265,0.00911484008308789,0.0321854425204705,0.0331789114198185,0.0360158462943272,0.0565455302871005,0.0782088087553932,0.0824743365839125,0.0639655303883259,0.0437542850765227,0.0231638980609306,0.0132325348820811,0.00543636979193314,0.00179643282898656,0.000359381167328728,9.95560630766307e-05,1.53558762743204e-06,1.41001035894403e-06
"2",1992,1,1,3,0,5194,0,1.11344666469769e-05,1.80378917235221e-05,0.0001014091671141,0.000619096920895742,0.00341854475003192,0.0230713967195163,0.0336487267071707,0.0425459274693547,0.0470601505727529,0.0434028011039221,0.0464809510056285,0.0584321659098732,0.054458221999549,0.0470989243704878,0.0371283937653099,0.0250352439269325,0.0152711411482798,0.00933405138291659,0.00488608133544648,0.00158664713642129,0.000316298701794987,1.58622925346412e-05,6.46327573112583e-07,0,1.84011916560083e-05,2.91723583704991e-05,8.58692570963525e-05,0.000595919277456519,0.00315043216926537,0.0235261457469361,0.0362634095004286,0.0463992441292732,0.0527966399713753,0.0484359553571641,0.0567972872482132,0.0673743277657768,0.0590414962959072,0.0452393490905027,0.0306278555588148,0.0182060022889374,0.00974394245818322,0.0049141687793244,0.00205638949207448,0.000711416193668284,3.9852227724657e-05,4.22224240107204e-06,6.46327573112583e-07
"3",1993,1,1,3,0,3076,0,0,0.000527441569327976,3.62792078461513e-05,0.00195265943780333,0.00330134594408636,0.00554872528838244,0.0203818617946013,0.0432944042639562,0.0684487410032056,0.079370694078435,0.0783442258820528,0.0465201131485668,0.036476027169079,0.0368265767235919,0.0200799752605691,0.0238934860218207,0.0105386360464773,0.00732205252137187,0.00781778242226252,0.0004063677947937,0.00131585873967181,1.70277691404764e-05,1.0524548949942e-06,1.1437122639941e-06,0,0.000527441569327976,0.000602241647855256,0.00088911195460344,0.00394523511739248,0.0201593299859963,0.034333775059832,0.0748757323523315,0.0906868371141207,0.0794672534630226,0.0625925010671228,0.046603839318469,0.034564482576021,0.0212718977489624,0.0183080595483382,0.00886598617281544,0.00581445693776189,0.00178532694267521,0.00213321128783944,0.000116060042524149,2.39309992694797e-05,9.75838462284788e-06,1.0524548949942e-06
"4",1994,1,1,3,0,4836,0,8.78613995758252e-08,1.93969265526932e-06,3.40699968438163e-05,0.00110837598041891,0.00481045857310956,0.00668964705488588,0.0144827955643006,0.0488443432868457,0.0562476335657041,0.0703642152536143,0.0800102635430146,0.078243973745688,0.0531010265457396,0.0302440646562196,0.0192939867992867,0.0125245035342252,0.00890000962691584,0.00445367744482736,0.00249937738210964,0.000941445250980133,0.000216228087799132,5.3853374803703e-05,2.64083019274604e-05,0,8.78613995758252e-08,6.16801017748828e-06,5.45397276966429e-05,0.001472775515454,0.00506407455789377,0.00618434738522326,0.0222073037860413,0.0639696400794026,0.0602897739059022,0.0783557151753004,0.0882638791482789,0.0769679258086139,0.0468565384065053,0.0250241142271159,0.0165555536594226,0.00816316854019916,0.00437527117206377,0.00193840378544363,0.000822169943930346,0.000224337226625367,7.7393548124899e-05,2.60033535102096e-05,8.43005236002717e-06
"5",1995,1,1,3,0,5257,0,0,3.5769129610927e-05,0.000113870731519276,0.00139437990227963,0.00363666979466009,0.0110095647192232,0.0547604402489009,0.059264750620136,0.0470664772666878,0.062754289117725,0.0702855273340515,0.0707654170768215,0.0524059215083161,0.0289204480835673,0.0157698013698094,0.0094202400659735,0.00592529906754175,0.00317353076977511,0.00149980893598869,0.000564909438784295,0.000138968536458029,1.59761394090419e-05,9.97784601054163e-06,0,0,3.88815642021534e-05,9.21128535829073e-05,0.0011802047215526,0.0045797307051085,0.0100797890291048,0.050894066172142,0.0568287095442679,0.0543028386432213,0.0715339169772969,0.0827898416114688,0.0727863941373039,0.0467004983518418,0.0244972015296723,0.0123013415900691,0.00617661036401187,0.00374656802869939,0.00161539258350737,0.000660009559766652,0.000213205518110148,2.90718087809993e-05,1.38979713749935e-05,7.67903166435567e-06
"6",1996,1,1,3,0,6793,5.42443490297361e-07,4.57932473037565e-06,1.40277621159499e-05,2.01161018148387e-05,0.00047088167498098,0.00190194982913735,0.00275836232112367,0.00840467096274515,0.0301860936565621,0.0610376805069564,0.0738822954939558,0.0720185417380136,0.0710518195289312,0.0612525455201062,0.0472972832483417,0.03015322570282,0.0189759715207322,0.0112389526412772,0.0063715006014422,0.00303166783286623,0.000928942497152638,0.000175671659161241,2.52154564656754e-05,1.93044075683271e-05,5.42443490297361e-07,4.57932473037565e-06,2.7109090617488e-05,3.45679900002767e-05,0.00047351657516476,0.00242286091956911,0.00288904436389444,0.00977096226813069,0.0353068335142492,0.0704893151464849,0.0811249184268991,0.0813140361626075,0.0740026065461537,0.0582793111763683,0.0373937302309499,0.0213076354185062,0.0121785651698711,0.00662688059000836,0.00330185038702243,0.00129480332223379,0.00038137608182705,0.000126117529801981,1.22522144314498e-05,1.47426744962193e-05
"7",1997,1,1,3,0,7210,4.54716773159617e-05,3.94905705060228e-06,0.000517594779974754,0.000478172689222483,0.00207867531753808,0.00436168247204602,0.00755790846562059,0.00914713533795953,0.0258069530567227,0.0387315355494664,0.0617314774872654,0.0910852693005748,0.0942701728106731,0.07532539257939,0.0483256905672554,0.021968783764031,0.0150679870155542,0.00763586405399506,0.00366481451060252,0.0017860684129241,0.000650226568610749,0.000209947488404133,7.50788121524421e-05,3.60884418447015e-06,1.69864712915365e-06,6.25154597309724e-06,0.000460122083812572,0.0012848375163336,0.000643414579398761,0.00480410157603899,0.00676796437066276,0.00858280053445924,0.0248807474032913,0.04070146668851,0.0689656669753216,0.0995802061736411,0.0913850523662506,0.0634861149824423,0.0387585588535807,0.0213074408521383,0.00990055928419698,0.00474855734673003,0.00195440003250807,0.000948328744188167,0.000205236260547117,9.23155740485012e-05,3.15005237739861e-06,1.54693788503394e-06
"8",1998,1,1,3,0,6896,9.55127040273019e-08,7.64966325044683e-07,1.05249403744366e-05,2.01491642195035e-05,0.00098962551225894,0.00289334384675288,0.00376998972393056,0.0114813969086978,0.0273274019242657,0.0411165067539318,0.0576055751980656,0.0756824850998247,0.0877100448055911,0.0781732826982073,0.0519254766787297,0.0293985378774821,0.0144078526204588,0.00840497822437977,0.0046387097705077,0.00254415704238281,0.00065594211193172,0.000340055730927369,1.82172958038193e-05,3.65021564082366e-06,9.55127040273019e-08,7.64966325044683e-07,1.05249403744366e-05,2.42691810483943e-05,0.00110831916290359,0.00310753539059604,0.0037303530417211,0.0115675664169587,0.0280699994947273,0.0426041206860634,0.0642357756499039,0.0878116065248114,0.0977629810008766,0.0773367875463899,0.0434940600134531,0.0203424699064449,0.0102930928407224,0.005297052118181,0.00258881283439196,0.00102135141347441,0.00021081507814393,0.000243567478050091,7.42775715733062e-06,1.18864211830755e-05
"9",1999,1,1,3,0,9153,2.01226299721757e-05,1.35751813683175e-05,2.30937291928211e-06,3.41931509193883e-05,0.000852195037999168,0.00456971723272044,0.00499776102774614,0.0310559427625668,0.0529479166698272,0.0544629532797046,0.0590966429681182,0.0639285062849589,0.0675324454238784,0.0654063436107896,0.0482285045847716,0.0311237973592511,0.0162747193768548,0.00844114216909464,0.00371798300675403,0.00202108002688763,0.000841734489503921,0.000227434334533197,3.81969777494304e-05,2.83037863483768e-05,3.21092799132483e-05,1.35751813683175e-05,5.5872005182124e-05,0.000129528215725238,0.000577881433058598,0.00423168515927562,0.00569243189881819,0.0304852224595948,0.0551115535441701,0.0559757815840747,0.0606356766052488,0.0691737038093939,0.072123159030339,0.0592595207779643,0.0365203482859709,0.0195620080768499,0.00857007520945044,0.00383715297326685,0.00141368380522495,0.000496136753821655,0.000143817064519544,5.3231134623854e-05,8.86679577453354e-06,3.34581711329299e-05
"10",2000,1,1,3,0,9939,1.83931671406946e-05,2.21873000070694e-05,0.000131798525349789,1.09707279789832e-06,0.000749698770103373,0.0019425006103021,0.004191186318236,0.0162874736797707,0.0417606736084362,0.103574397363992,0.0952978613567647,0.0739987394361645,0.0594977310076215,0.0456623022200269,0.0322425425908007,0.0214859367113451,0.0122140865375472,0.00833661581042501,0.00341725999185591,0.00165350892185215,0.000508423602042133,0.000212123230098757,1.88691180240952e-05,3.93997860346033e-05,8.18772796287884e-06,1.27605862761349e-05,0.000119352729393461,3.17163858887632e-05,0.000444309296693092,0.00259994557107592,0.00464707580400262,0.0206574983792956,0.0496934738852595,0.0754948991587325,0.102016634413261,0.0722368793156401,0.0595828789038407,0.0398189976996365,0.0243655249431665,0.0132262636281503,0.00682396319029473,0.00284035769335378,0.00145990383272252,0.000376672403164054,0.000150153597100636,9.93561570423681e-05,6.73262897629181e-06,2.16553323307265e-05
