Year,Fleet,Unit,Estimate,SD_mt,SD_log
1982,Both,[number/1000],724996775.4,47414071.20,0.06539901
1983,Both,[number/1000],916175321.6,67521381.27,0.073699192
1984,Both,[number/1000],724560760.2,40555045.72,0.055971905
1985,Both,[number/1000],925664686.3,45677682.92,0.04934582
1986,Both,[number/1000],900405937.8,46186711.47,0.051295432
1987,Both,[number/1000],826551364.8,49615843.50,0.060027538
1988,Both,[number/1000],540798418.1,25237420.93,0.046666965
1989,Both,[number/1000],355099754.9,21764358.84,0.06129083
1990,Both,[number/1000],482062240.6,26606531.77,0.055193146
1991,Both,[number/1000],527224932.2,28668799.05,0.054376789
1992,Both,[number/1000],567656076.7,34908465.47,0.061495802
1993,Both,[number/1000],844397200,51450537.33,0.060931677
1994,Both,[number/1000],1200614690,62964770.57,0.052443778
1995,Both,[number/1000],750426888,38887836.50,0.051820953
1996,Both,[number/1000],655248189.4,41817198.73,0.06381887
1997,Both,[number/1000],560342320,34299830.30,0.061212279
1998,Both,[number/1000],637607508.7,47754566.04,0.074896493
1999,Both,[number/1000],540149594.1,31404435.30,0.058140255
2000,Both,[number/1000],532373197.8,31607990.94,0.059371867
2001,Both,[number/1000],1019672717,58374217.31,0.057247994
2002,Both,[number/1000],664777901,51581436.51,0.077591984
2003,Both,[number/1000],642464605.7,54858047.26,0.085386879
2004,Both,[number/1000],507640601.2,43906543.29,0.086491394
2005,Both,[number/1000],534945754.7,41172050.19,0.076964907
2006,Both,[number/1000],440828164.1,22212278.08,0.050387611
2007,Both,[number/1000],635691874.6,36195564.34,0.05693885
2008,Both,[number/1000],511806774.8,29270010.58,0.057189572
2009,Both,[number/1000],750317628.5,37546015.81,0.050040162
2010,Both,[number/1000],774288811.8,40097027.49,0.051785622
2011,Both,[number/1000],863630604.1,43951496.78,0.050891546
2012,Both,[number/1000],1064125086,67499669.93,0.063432082
2013,Both,[number/1000],749387073.6,44043529.71,0.058772737
2014,Both,[number/1000],1286402484,91904432.26,0.071442984
2015,Both,[number/1000],1097718068,75784367.87,0.069038098
2016,Both,[number/1000],940386286.7,87869447.82,0.093439738
2017,Both,[number/1000],529129473.5,25762014.05,0.048687543
2018,Both,[number/1000],529421033.6,35254829.97,0.066591291
2019,Both,[number/1000],768073441.4,41804670.93,0.054427961
2021,Both,[number/1000],610934356.5,34673867.88,0.056755472
2022,Both,[number/1000],544667925.7,26863945.00,0.049321694
2023,Both,[number/1000],634965170.4,31822102.32,0.050116296
2024,Both,[number/1000],501946109.9,28325506.67,0.05643137
2025,Both,[number/1000],606996115.8,31709621.76,0.052240238
1982,EBS,[number/1000],645026308.7,33163165.15,0.051413663
1983,EBS,[number/1000],786886292.3,44741399.88,0.056858787
1984,EBS,[number/1000],673970158.6,34368492.50,0.050994086
1985,EBS,[number/1000],845392367.8,39342882.79,0.046538015
1986,EBS,[number/1000],854392118.2,41879779.56,0.049017048
1987,EBS,[number/1000],733372302.3,35156901.81,0.047938682
1988,EBS,[number/1000],511911787.1,24557685.31,0.047972494
1989,EBS,[number/1000],330443844.5,19438570.34,0.058825639
1990,EBS,[number/1000],452089303.3,23800063.37,0.052644606
1991,EBS,[number/1000],495911989.2,27611977.42,0.055679189
1992,EBS,[number/1000],544430582.9,33047539.02,0.060701107
1993,EBS,[number/1000],774185469.5,44132126.22,0.057004591
1994,EBS,[number/1000],1160335619,60023335.41,0.051729288
1995,EBS,[number/1000],726650990.2,37096489.81,0.051051317
1996,EBS,[number/1000],598411532.9,34371675.31,0.05743819
1997,EBS,[number/1000],517785009.9,29482592.67,0.056939834
1998,EBS,[number/1000],575057154.8,40989230.12,0.071278533
1999,EBS,[number/1000],530329860.1,30880212.06,0.058228311
2000,EBS,[number/1000],510778095.8,30035419.10,0.058803264
2001,EBS,[number/1000],990969065.6,56737719.08,0.057254783
2002,EBS,[number/1000],619198101.2,48295219.41,0.077996395
2003,EBS,[number/1000],582368176,49202221.21,0.084486452
2004,EBS,[number/1000],475492223.3,41713175.37,0.087726304
2005,EBS,[number/1000],499470822.9,39040886.62,0.078164499
2006,EBS,[number/1000],429255039.7,21574520.29,0.050260377
2007,EBS,[number/1000],610074231.1,34458564.48,0.056482577
2008,EBS,[number/1000],498622136,28528119.07,0.057213904
2009,EBS,[number/1000],718511850.9,35232443.10,0.049035299
2010,EBS,[number/1000],764704564.5,40053777.66,0.052378107
2011,EBS,[number/1000],818505805.2,40356602.47,0.049305212
2012,EBS,[number/1000],1038447348,66158368.18,0.063708929
2013,EBS,[number/1000],705715942.3,39945294.57,0.056602511
2014,EBS,[number/1000],1135917501,72004927.80,0.063389223
2015,EBS,[number/1000],964599547.4,57017056.60,0.059109562
2016,EBS,[number/1000],727773521.2,48250073.82,0.066298199
2017,EBS,[number/1000],389409487.7,22665737.84,0.058205407
2018,EBS,[number/1000],294800267.3,21483960.61,0.072876327
2019,EBS,[number/1000],551206860,37398788.43,0.067848917
2021,EBS,[number/1000],488295904,32675821.73,0.066918075
2022,EBS,[number/1000],459264049.7,25582896.77,0.055704114
2023,EBS,[number/1000],581259486.3,31120862.01,0.053540394
2024,EBS,[number/1000],461164741,24669168.31,0.05349318
2025,EBS,[number/1000],559657323.2,31232019.41,0.055805612
1982,NBS,[number/1000],79970466.68,35624737.53,0.445473673
1983,NBS,[number/1000],129289029.3,52855539.33,0.408816894
1984,NBS,[number/1000],50590601.61,21411393.93,0.423228688
1985,NBS,[number/1000],80272318.41,23592405.39,0.293904622
1986,NBS,[number/1000],46013819.53,18832784.70,0.409285404
1987,NBS,[number/1000],93179062.54,36888225.87,0.395885351
1988,NBS,[number/1000],28886630.94,5072281.66,0.175592705
1989,NBS,[number/1000],24655910.38,9519459.57,0.386092399
1990,NBS,[number/1000],29972937.3,11247936.23,0.375269735
1991,NBS,[number/1000],31312942.98,6659667.69,0.212680989
1992,NBS,[number/1000],23225493.77,9469516.30,0.407720774
1993,NBS,[number/1000],70211730.56,26893236.95,0.383030538
1994,NBS,[number/1000],40279070.97,18406262.46,0.456968396
1995,NBS,[number/1000],23775897.87,11365031.10,0.47800639
1996,NBS,[number/1000],56836656.44,26208252.53,0.461115311
1997,NBS,[number/1000],42557310.15,18712148.35,0.439692929
1998,NBS,[number/1000],62550353.83,25728521.69,0.411324958
1999,NBS,[number/1000],9819733.914,5029101.52,0.512142341
2000,NBS,[number/1000],21595101.94,9347692.84,0.432861714
2001,NBS,[number/1000],28703651.46,13012255.22,0.453331007
2002,NBS,[number/1000],45579799.82,17796335.29,0.390443472
2003,NBS,[number/1000],60096429.74,25353097.97,0.421873614
2004,NBS,[number/1000],32148377.83,13211720.16,0.41096071
2005,NBS,[number/1000],35474931.74,12528090.17,0.353153327
2006,NBS,[number/1000],11573124.34,4759882.75,0.411287618
2007,NBS,[number/1000],25617643.53,10183723.67,0.39752773
2008,NBS,[number/1000],13184638.77,5585310.43,0.42362256
2009,NBS,[number/1000],31805777.59,11716271.30,0.368369277
2010,NBS,[number/1000],9584247.25,1234315.70,0.128785878
2011,NBS,[number/1000],45124798.86,16445711.08,0.364449515
2012,NBS,[number/1000],25677738.48,11291180.86,0.439726453
2013,NBS,[number/1000],43671131.3,18284603.49,0.41868857
2014,NBS,[number/1000],150484983,60501718.51,0.402044891
2015,NBS,[number/1000],133118521,53345393.61,0.400736075
2016,NBS,[number/1000],212612765.5,80124590.35,0.376856912
2017,NBS,[number/1000],139719985.7,11979209.62,0.085737266
2018,NBS,[number/1000],234620766.3,28113249.99,0.119824219
2019,NBS,[number/1000],216866581.4,18077711.03,0.083358676
2021,NBS,[number/1000],122638452.5,10641631.45,0.086772389
2022,NBS,[number/1000],85403876.03,7758432.15,0.090844029
2023,NBS,[number/1000],53705684.09,5899930.56,0.109856725
2024,NBS,[number/1000],40781368.94,13364315.80,0.327706405
2025,NBS,[number/1000],47338792.58,4716021.71,0.099622771
