"year","est","lwr","upr","log_est","se","type","region"
1982,724996775.397505,637776241.594578,824145350.762227,20.4016777650815,0.0653990097794613,"index","Both"
1983,916175321.586833,792949853.147763,1058550192.74255,20.6357183034362,0.0736991923647901,"index","Both"
1984,724560760.223422,649279123.193473,808571039.021544,20.4010761812512,0.0559719045577906,"index","Both"
1985,925664686.251755,840331140.762372,1019663641.87837,20.6460226171535,0.0493458199251982,"index","Both"
1986,900405937.755999,814283434.05122,995637168.636375,20.6183562615509,0.05129543190802,"index","Both"
1987,826551364.807856,734808741.752633,929748273.048879,20.5327726206722,0.0600275380504637,"index","Both"
1988,540798418.064815,493528707.589579,592595576.475807,20.1085571575127,0.0466669651487665,"index","Both"
1989,355099754.905729,314904975.94413,400425034.745977,19.6879093077011,0.0612908303610784,"index","Both"
1990,482062240.613302,432635969.234938,537135190.668634,19.9935837935814,0.0551931462881517,"index","Both"
1991,527224932.151649,473925779.01363,586518272.251057,20.0831378316725,0.0543767893052574,"index","Both"
1992,567656076.651098,503199232.484105,640369461.153931,20.1570262944433,0.0614958016140639,"index","Both"
1993,844397200.043738,749344712.469468,951506856.02623,20.5541335580207,0.0609316768514127,"index","Both"
1994,1200614690.21403,1083336630.19008,1330588843.93561,20.9060995044343,0.0524437782415379,"index","Both"
1995,750426888.047902,677951008.948598,830650750.38181,20.4361527866347,0.0518209530021101,"index","Both"
1996,655248189.355995,578206686.031847,742554868.399883,20.3005246368767,0.0638188695586842,"index","Both"
1997,560342320.003925,496992045.470182,631767688.133388,20.1440584406558,0.0612122787762671,"index","Both"
1998,637607508.669038,550555889.413797,738423369.776326,20.273233461828,0.0748964925843055,"index","Both"
1999,540149594.054288,481975518.26979,605345236.215286,20.1073566851844,0.0581402552953749,"index","Both"
2000,532373197.765917,473891323.942555,598072189.508719,20.0928553009301,0.0593718674724783,"index","Both"
2001,1019672717.02968,911446577.738301,1140749743.5941,20.742747547097,0.0572479937336684,"index","Both"
2002,664777901.047039,570992175.622875,773967974.672198,20.3149635594473,0.0775919843720022,"index","Both"
2003,642464605.718292,543460224.653603,759505021.483126,20.28082228484,0.0853868785460579,"index","Both"
2004,507640601.156874,428484130.250265,601420126.790689,20.0452842771244,0.0864913940939448,"index","Both"
2005,534945754.669201,460041592.128308,622045843.974012,20.097675906578,0.0769649068746284,"index","Both"
2006,440828164.09059,399373570.578116,486585704.642842,19.9041657068894,0.0503876110611338,"index","Both"
2007,635691874.599638,568565133.01579,710743828.571669,20.2702245300091,0.0569388500750439,"index","Both"
