"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",1991,1,1,0,0,5257,0,8.88178934926693e-06,2.83246961638725e-05,7.72890051846082e-05,0.00109956999095034,0.00495023978952628,0.00634845479417288,0.0137060319836279,0.0507283594501634,0.0701387532047867,0.081404671349076,0.0887432315199489,0.130269877623094,0.158394888148161,0.138515928716957,0.105290649692188,0.0664047378676975,0.0454474480919498,0.0238287344532507,0.00943142028341806,0.00444598523745347,0.000696383519946248,3.6691094422605e-05,3.44769851255209e-06,0,1.16853611333979e-05,2.74016895345992e-05,7.24055990925394e-05,0.0012002620233578,0.00542475399860639,0.00674860175372746,0.0186493227585065,0.0666360419729576,0.0698335262811614,0.0755679064702625,0.116602451029163,0.159242968758512,0.167752508053406,0.132573523721218,0.0889501394512056,0.0476948391753601,0.0270042585037122,0.0113118055299358,0.00375244645394057,0.000739305355916322,0.000197775699673412,3.16542327838946e-06,2.90493633867111e-06
"2",1992,1,1,0,0,5194,0,2.25605928948697e-05,3.61853540488109e-05,0.000199269911605022,0.00121988031741348,0.00677153144464713,0.046569836082615,0.0678612304565037,0.0868521736631122,0.0958540714568431,0.087997344853336,0.0942006865188135,0.118505959458435,0.111005521725479,0.0944891667566807,0.0751519205213496,0.0508031691996221,0.0300686452996221,0.0190105390821818,0.00958964520565593,0.00313920956027583,0.000618277366244961,3.19044562770678e-05,1.27071634316185e-06,0,3.68009881989424e-05,5.82274017454386e-05,0.000170207748718979,0.00119694402262816,0.00616896767346775,0.0468996567395025,0.0716837968225754,0.0916728907553928,0.105380881284014,0.0972868480536078,0.113885454596545,0.133356927486618,0.11595560576241,0.0882422962119103,0.0592126632486831,0.0349188067904145,0.0190070952442704,0.00973117067574493,0.00373330279559159,0.00131272888179396,7.9043036257779e-05,8.4242800667122e-06,1.25949984411203e-06
"3",1993,1,1,0,0,3076,0,0,0.00106890778378164,6.88019589779422e-05,0.00395921467663816,0.00674087396676322,0.0112897587512542,0.0416045290461002,0.0882197562155926,0.140360045586232,0.160995989533246,0.156831192459474,0.0942013884935736,0.0732433782566294,0.0752446321595889,0.0414258831701802,0.0489140034507492,0.0210623508879998,0.0149947667566625,0.0161886238027002,0.000877445602585558,0.00267167438810072,3.46269242829225e-05,2.15612888669564e-06,2.2509169326685e-06,0,0.0010380418898677,0.00118519595016587,0.00175185175726222,0.00777581856814458,0.0399277966641385,0.0680908269190901,0.146493003586278,0.177627653739753,0.158267357215808,0.123413300957124,0.0912823640412702,0.0675188527970896,0.0420699459236924,0.0366387480757601,0.0172932706523191,0.0115519353037733,0.00373132112649311,0.00404269298498923,0.000229718966543764,4.66586116143416e-05,1.92994836072044e-05,2.0938682815328e-06
"4",1994,1,1,0,0,4836,0,1.80184603407969e-07,3.96141099116132e-06,6.94174653302629e-05,0.00223866230271964,0.0097101296985076,0.0135309322089946,0.0292014037573144,0.0989721237371601,0.113406226000813,0.143257661535405,0.163050509658371,0.158762506787832,0.108595056921255,0.0611951867985959,0.0387743579486356,0.0250206802815369,0.0179313802937339,0.00892084122251306,0.00488947550114543,0.00185591471049381,0.000446010088089571,0.000104965771652352,6.24157143082132e-05,0,1.73494018639399e-07,1.21041573044968e-05,0.000106831244833523,0.00286842226365241,0.00986682717666755,0.0120235737213648,0.0436578299553567,0.125596029161087,0.119629921874585,0.155376509846063,0.174325358766197,0.152320294972855,0.0919013834436718,0.0491709825413063,0.0320307667945297,0.0160600438109621,0.0090133437172282,0.00379340902368702,0.00162342319942038,0.000401728590393954,0.000151245018158886,5.32676481529992e-05,1.6529578503584e-05
"5",1995,1,1,0,0,5257,0,0,7.14031906898679e-05,0.000227559343286693,0.00279487570570838,0.00731242793492001,0.0221372516020575,0.110048183342847,0.118486544502666,0.0942820152995915,0.126222294067238,0.140756581165547,0.141858061426374,0.105302907511844,0.0581601854380395,0.0312338216133107,0.0186485595487763,0.0119368850537057,0.00619864165895508,0.00291622242479704,0.0010990012888552,0.000248719789115268,3.48113720652814e-05,2.30467196098698e-05,0,0,7.73520972041961e-05,0.000183177137314986,0.00235990859119447,0.00916166101767413,0.020167050417596,0.1019615762727,0.112868776608661,0.107663669782733,0.142735342307647,0.164948802182543,0.145394834431909,0.0935818165987537,0.0494039844371359,0.0246186044564297,0.0124437097801664,0.00734400341796855,0.00326847088253648,0.00132409497495626,0.00039807743855966,5.41232285067395e-05,2.56450206002513e-05,1.53189172099271e-05
"6",1996,1,1,0,0,6793,1.08352046047587e-06,9.14711325562256e-06,2.7935144014412e-05,4.01244074848988e-05,0.000930346993674885,0.00378327938785073,0.00546096024203664,0.0167098336119612,0.0601820499058103,0.121801849504355,0.147517350370713,0.142927731622322,0.140932050371481,0.123541932760538,0.0956550840111305,0.0607298437063222,0.0375378312017609,0.0212674557103328,0.0122035506094412,0.00625837707197629,0.00191974593235019,0.000457883904580034,6.55936733941537e-05,3.89592227541716e-05,1.08403186753337e-06,9.15143056982685e-06,5.40008117638503e-05,6.93044063778657e-05,0.00094622805038752,0.00484746585390236,0.00579160649881631,0.0193765666151277,0.0708923418040615,0.141542598252002,0.161974601702703,0.161632440799105,0.149069018943459,0.11767307546583,0.0760519175808622,0.0422897517327454,0.0242593474049667,0.0131507960591335,0.00644066350103864,0.0029025996955991,0.000726829788114726,0.000241403170676198,2.44787162318057e-05,3.27276846573882e-05
"7",1997,1,1,0,0,7210,8.91509538832672e-05,7.74579044323778e-06,0.00101494950981012,0.000918208482099441,0.00407652027281223,0.00851768348671949,0.0148152483180152,0.0179709616296789,0.0501369882570516,0.0757414933282524,0.120836811065885,0.178746051067796,0.184547026959207,0.147360151211343,0.0950321637004803,0.0432218276861723,0.0296100541802273,0.014915907669414,0.00714498185749939,0.0035092961489666,0.00119704227710489,0.000435138123659868,0.00014736127780164,7.23674567702757e-06,3.45690057091978e-06,1.26591442840729e-05,0.000938418706978112,0.00261413769979165,0.00130983488846053,0.0097779929451587,0.0137957621744026,0.0174194446076837,0.0506489263677911,0.0830658721811414,0.141260081354991,0.203341464571438,0.18675402279363,0.130403534095461,0.079079982652912,0.0434746528166806,0.0199672096515355,0.00969125440392626,0.00394604166982529,0.00187335981863741,0.000426611445992102,0.00018569139372099,6.42002187593686e-06,3.16769311142188e-06
"8",1998,1,1,0,0,6896,1.91677123607287e-07,1.53217975110199e-06,2.10828525095885e-05,4.03986045405615e-05,0.00198259124889752,0.00576981797053375,0.00747711567688054,0.023017760940327,0.0545232416638898,0.0818132631668249,0.114573037092242,0.151260460069763,0.174945954197294,0.158259368035748,0.104795310768818,0.0589941674533691,0.0289635266637194,0.0168010734393829,0.00937639185937636,0.00538331839571583,0.00127794459305799,0.000678490857868886,3.66352544279042e-05,7.32533794016983e-06,1.90575050650791e-07,1.52337028111203e-06,2.09616338625255e-05,4.83742596167743e-05,0.0022063390017536,0.00615099120331671,0.00735101076799958,0.022823618437463,0.054749703235777,0.0840430913181628,0.12807173703775,0.176159925762679,0.196291684422857,0.155721369847845,0.0858183902481693,0.040823385741755,0.0207398818422043,0.0107844424281396,0.00519571564827819,0.00206334416530594,0.000409598480155416,0.000486132985634362,1.48707899210591e-05,2.37167960230058e-05
"9",1999,1,1,0,0,9153,3.89508510793638e-05,2.62771252358083e-05,4.4701930508116e-06,6.61867922451939e-05,0.00164957175386997,0.00884548270542248,0.00967403593820298,0.0601685844740862,0.10247485400695,0.106672912671339,0.113599404503149,0.12393625414035,0.131099595901012,0.127131553273894,0.0932040911761934,0.0603965357599894,0.0313303667796758,0.0163427379461311,0.00722066050289229,0.00391785472704655,0.00163065625839564,0.000440238721627646,7.3936895627315e-05,5.47869025352134e-05,6.63914538665937e-05,2.80690202327904e-05,0.0001155249717373,0.000267821844089257,0.00119486916576541,0.00874973623790539,0.0117700811360513,0.0630326686015434,0.113846553852768,0.115562894878245,0.125808777758336,0.142537773333083,0.14916918762085,0.122164756051818,0.0753743904282576,0.0403133044509162,0.0176722109230209,0.00789282752934285,0.00292305877824838,0.00102520849968473,0.000287117275544358,0.000110064518051925,1.83336239305249e-05,6.83780467115693e-05
"10",2000,1,1,0,0,9939,3.51424317328451e-05,4.23915941104824e-05,0.000251817462656934,2.09609392505347e-06,0.00143239267316095,0.00371138883077497,0.00800982618362826,0.0311311794217583,0.0797013328215746,0.19796690126151,0.182172396553568,0.141152019826812,0.113713883099345,0.0876172734135219,0.0616828424880147,0.0409982331860703,0.023284641169186,0.015933889063973,0.00653469176540445,0.00312173959678493,0.000987303285730429,0.000405287793867927,3.60517950469579e-05,7.52781878410887e-05,1.71856364132764e-05,2.67838400538154e-05,0.000250515481411646,6.65711267763965e-05,0.00093258325907072,0.00545715728238591,0.00975398248630172,0.0433252308359318,0.104162429505975,0.158300063204042,0.213833762241784,0.151093978399753,0.124961948153419,0.083758736136145,0.0514696264102868,0.0277760191044318,0.0142890070895176,0.00605374511926901,0.00309640823357183,0.000791968450513768,0.000315164980763457,0.000208543664138808,1.41314555413439e-05,4.44579025027294e-05
