"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1",1982,7,2,3,0,313,3.02261094673283e-05,0.00478691980270336,0.0161524194031518,0.00366770349338996,0.00628241507736917,0.0419177390032519,0.0555649411948029,0.0369691083173504,0.0697367728770889,0.0565583285781272,0.0563738095394265,0.0597201382179698,0.0479250884437895,0.0281607652925184,0.0139269297113517,0.00637091729012465,0.00161618672008387,0.000384809783490214,0.000359031709149388,0,0,0,0,0,3.02261094673283e-05,0.00606039225942115,0.0158699674618361,0.00436820230528727,0.00861411101711957,0.0399045942314343,0.0581886027386915,0.0380753055700051,0.0736658232405107,0.0693940115671975,0.0659149047631712,0.0521317800274594,0.0349498175585359,0.0167000982697557,0.00591880873517045,0.00215569916527386,0.00108497157118756,0.000468432843868469,0,0,0,0,0,0
"2",1983,7,2,3,0,255,0.000371564693654886,0.0654354394923077,0.0655970416096004,0.00973951823069396,0.00576047901154554,0.0273719390538503,0.0254104317359822,0.0204798062308079,0.0503807215841599,0.0464226982878306,0.0441525839954425,0.0380499692034627,0.0361679052520625,0.0280161380039772,0.0176996075498226,0.00856317280790136,0.00176594402548666,0.000945921786349732,0.000212043642695597,8.81318018565562e-05,0,0,0,0,0.000173088040832177,0.0704536975552993,0.0708887251712746,0.0112229378031381,0.00631276210187912,0.0268178470315337,0.0244019084550242,0.0206457260807,0.053579081510548,0.0514439955154643,0.0576561831178933,0.0475644296779446,0.0338186892509309,0.0213891686542572,0.00696759680399857,0.00290607571586745,0.000555804283703225,0.000483093428363973,8.81318018565562e-05,0,0,0,0,0
"3",1984,7,2,3,0,264,0.000263745670807818,0.00776457278503373,0.00604157699468496,0.0249847732745518,0.0945264781199905,0.100064964197732,0.035589235807085,0.0184285198691983,0.0212832531956143,0.0211226439875766,0.0328660629808384,0.0383650516653768,0.0337276114008301,0.0273601455065746,0.0206578003573697,0.0107436354385172,0.00557995164223799,0.00294349624417646,0.000505704427950592,6.98651050149908e-05,0,0,0,0,0.000263745670807818,0.00762414747600136,0.00700617690389033,0.0227966904162398,0.0972802016191305,0.100796038401127,0.0367815510681046,0.0150818417067577,0.0230223250642121,0.0268685313784455,0.0388307258929599,0.0416885450608722,0.0396797763104044,0.0217317604682101,0.0109943977623201,0.00380273966075831,0.0023297835362188,0.000238717513556765,0.000245596543992257,4.76188748285467e-05,0,0,0,0
"4",1985,7,2,3,0,345,0.000130450162180137,0.0188606984009356,0.0528452563940096,0.0733201195532163,0.0188529616942443,0.0347315760571125,0.0466751552155605,0.0662537704806299,0.0563979157390358,0.0214370993212794,0.0145424983849462,0.0142972947734956,0.0169388902711478,0.0181611868670519,0.0169667588813555,0.008997362236725,0.00488114819294793,0.00162316722382011,0.000969917191958764,0.000297590154346908,0,0,0,0,0.000130450162180137,0.0226644761295009,0.0644231710269013,0.0815342548487437,0.0190973378536013,0.0343659500314747,0.0481330227433163,0.0717479197060674,0.0547832196818899,0.0186307431264212,0.0138112451490577,0.0177276173699274,0.0236295328548306,0.0215662120555228,0.0122757333549761,0.00597292947296365,0.0016685100585574,0.00062522446044769,3.16327176202086e-05,0,0,0,0,0
"5",1986,7,2,3,0,349,0.000749061215195188,0.01874233857296,0.0190674852274,0.00850963584591555,0.0782512996556921,0.0955465326621251,0.0561806757824385,0.0237267598496219,0.0328592262530996,0.0406698246810852,0.0367329584369363,0.0213544795452073,0.0132415232599311,0.0122650830942054,0.0125492268018552,0.0107359121690323,0.00522461554351336,0.00387248460675712,0.00114554929832287,0.0008380459288925,0,0,0,0,0.000771248820529747,0.0202112481951475,0.021905296124188,0.00802695077137316,0.0750823480258361,0.102779241255993,0.0577735177374676,0.025424286485009,0.0366353459368486,0.0461990910548246,0.0413316191283327,0.0193142260033404,0.0137458940546531,0.0170978862927114,0.0114283007979602,0.00639662976935055,0.00246985355755899,0.000914396100068816,0.000229901458619906,0,0,0,0,0
"6",1987,7,2,3,0,339,0,0.00348444380304533,0.0236794069182162,0.0216314236962814,0.0271094886997449,0.0652824583850876,0.0455227363418765,0.0658672618178688,0.0699256312762157,0.035156398834486,0.0254515842773131,0.0273022760851547,0.030285284189303,0.0210657378793644,0.00999480560530153,0.0091909297897966,0.00482003970054046,0.00381469446335823,0.00133196392079445,0.000648661454156135,0,4.27341776772499e-05,0,0,0,0.00461871985647218,0.0222399852813309,0.0218469185601719,0.0273035264377894,0.0729141403510725,0.0489311017781105,0.0661196333712229,0.0705089890341445,0.043378703964011,0.0310410490203597,0.0338195264445799,0.0288451814660232,0.0175324381082453,0.0100014523695394,0.00634887244237736,0.00191552789251441,0.000794185219533873,0.000232087086918687,0,0,0,0,0
"7",1988,7,2,3,0,339,0,0.00265133515098958,0.00615382165178957,0.00969739335729843,0.0214212993662419,0.0375396823995758,0.0521578217598589,0.0474546768806854,0.0685695138486776,0.0634418989634743,0.0536684389202396,0.0456543323262301,0.0308039868188704,0.0199415125277915,0.0178219737195702,0.0142080518714594,0.00479595931192254,0.00294184376677853,0.00222760715855786,0.000600088059272423,2.9825613953985e-05,0.000376937026620381,0,0,0,0.00307447894249069,0.00858718320186449,0.00990289387626342,0.0230194858936339,0.0378528974156291,0.0509620879208737,0.0532370271172457,0.0726040074358702,0.0670088906569615,0.0576168804945157,0.0393356679917184,0.0263372100283026,0.0221906851304338,0.0117020798308866,0.010707748282526,0.00292009012373657,0.000475283724557977,0.000236777813419371,7.0623619212062e-05,0,0,0,0
"8",1989,7,2,3,0,293,0.000130853383370976,0.00835894758201833,0.0223725715256755,0.00430444857681648,0.007591678052596,0.00809845649542651,0.0215391612400135,0.0300751040958165,0.0442700532253602,0.066036949632026,0.0661494919385172,0.0543567470188475,0.0448828200929295,0.050123713327965,0.0288514419348342,0.021071294678604,0.0152313847446874,0.00866772865404633,0.00612365406482225,0.0034962489008696,0,0,0,0,0.000130853383370976,0.0090131015299827,0.0234880263505771,0.0068583986703946,0.00355192401676004,0.0113797981000767,0.0287713773413133,0.0290636312332699,0.0431823971780385,0.0527215459341465,0.0634399752521918,0.0602619141911137,0.0494387205589941,0.0355410060692064,0.038365305892702,0.012803433744394,0.00932893051189629,0.00549583872937529,0.00285839619519563,0.00257267595175738,0,0,0,0
"9",1990,7,2,3,0,329,0.00229968408026331,0.0562261664381714,0.0823759772488915,0.0179880634509261,0.0293715642488286,0.0468421745854137,0.0370776597341012,0.0210623909124675,0.0150406854283794,0.0211211103100855,0.0286893877107634,0.0393600313168886,0.0242803736668606,0.0279081592361562,0.0218346030884025,0.0169384264332991,0.00873081380585053,0.00405613500781498,0.00344563619184613,0.00189531906131129,0.000447733091404167,0,0,0,0.00221683323304052,0.0602012392712659,0.0872412509686515,0.0287547894499243,0.029088089178983,0.0474642308884965,0.0355038282170321,0.0214085899224462,0.0197416409253057,0.0192791041087962,0.0334463755445453,0.0352013272288021,0.0272549487731778,0.0203556904587922,0.0107118097011667,0.00614208140692195,0.00600849130419034,0.00175817939877887,0.00122940497155722,0,0,0,0,0
"10",1991,7,2,3,0,313,0.000443040283190816,0.0336066312021881,0.0430698547034853,0.0280880009067444,0.0605761584813247,0.114227903273311,0.069890485872343,0.0278119878640174,0.0232463062118377,0.0221597487075263,0.0205202669969197,0.0120856757415948,0.0113115885204954,0.0111633965612022,0.00822831037562699,0.0100047418759888,0.00443188690335418,0.0023247600354467,0.00230645918163827,0.000984302051927896,0.000244238355783485,0,0,0,0.000443040283190816,0.0373778618292266,0.0491624589755776,0.0332137988037653,0.0540336532526651,0.104016384480129,0.0710124489368294,0.0266182660556164,0.0182178629975717,0.0209127649993939,0.0138484677262367,0.0176600360011285,0.0170763594906694,0.0134835578946596,0.00691837637758806,0.00565555179792841,0.00244332107880279,0.000511698540197416,0.000668346372876044,0,0,0,0,0
