"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",1991,1,1,0,0,5267,0,1.45134086907783e-05,3.98816145302842e-05,0.000100663612955308,0.00140731271766559,0.00609481687318416,0.00710413059949984,0.017855715437613,0.0647768853213869,0.0753979264699994,0.0798726357362845,0.105195801326131,0.144978756956023,0.15781557775793,0.13049940063054,0.0936427884317447,0.0552417314111086,0.0335739465762478,0.0167018316476187,0.00667119172026444,0.0024756876739634,0.000512242874638961,2.11803906947055e-05,5.38081128504094e-06
"2",1992,1,1,0,0,5195,0,2.28188964928637e-05,4.80643073165638e-05,0.000211549409588931,0.00152264452387314,0.00772024424664187,0.0589429171602841,0.0812316833659181,0.0900861936155517,0.099747591388099,0.0910163373012009,0.102148719165551,0.122729069305863,0.108626953597373,0.0867814557117737,0.0633275222567387,0.0403980841757486,0.0232750091198812,0.0132172908817523,0.00647493229543495,0.00210884972864856,0.000336206905742723,2.4010852705178e-05,1.85178781951546e-06
"3",1993,1,1,0,0,3080,1.09259514210064e-06,0,0.0011288458282599,0.000714789010762669,0.00276165055294995,0.00900749073445243,0.0249687635178721,0.0604179104488935,0.117846701936697,0.15739706451099,0.163075113147387,0.140168126440743,0.0926057622090202,0.0701724971025467,0.05641849992399,0.0380540869999691,0.0307537276268328,0.0156854273985742,0.00865517900487622,0.00845336083389318,0.000563711733455022,0.00111368161120959,3.29653047786545e-05,3.55152670444423e-06
"4",1994,1,1,0,0,4839,0,2.70084720390209e-07,7.08324638755967e-06,7.43694163981461e-05,0.00221424858918001,0.00959793901753679,0.0128836304005428,0.0372400392777091,0.114096920333556,0.115694604623123,0.150038471773878,0.172150661984775,0.156865184437496,0.0985636826574931,0.0535665004250351,0.0340184602963631,0.0197804549358766,0.0124946405827013,0.0060430310140301,0.00317272498498612,0.00110090491306805,0.000285548073807491,6.94805039560744e-05,4.11484273800732e-05
"5",1995,1,1,0,0,5258,0,0,0.000110364057616022,0.000284113539707453,0.0022274460104201,0.0070649160647807,0.0185720788467125,0.0986144573317265,0.112265288601375,0.102340834428764,0.136705839240294,0.157417242337201,0.148354709740404,0.10163825066111,0.0544166613138586,0.0279508804977608,0.0152640014852043,0.00920397354724367,0.00455236568463932,0.00208270320179186,0.000716670325178204,0.0001633374951349,2.93743707723895e-05,2.44912183050987e-05
"6",1996,1,1,0,0,6797,1.61282017681694e-06,1.36154778395404e-05,4.74600839915953e-05,5.70787356816537e-05,0.00100470447972363,0.00476771555192481,0.0059451302188593,0.0190061408768037,0.0664803785178786,0.131458968465102,0.157613251854848,0.156724244494769,0.146946356137041,0.118446904623913,0.082530601692694,0.0494599316219513,0.0290047218209023,0.0162429083811913,0.00882755165041654,0.00386883880720395,0.00118441758262583,0.000284423914819384,3.76797711181177e-05,4.53624185254926e-05
"7",1997,1,1,0,0,7216,3.60421644421722e-05,1.309431764357e-05,0.00121894692526174,0.0016036905059745,0.00211454647374074,0.00916948416276269,0.0149106964647454,0.0191988817328392,0.0546183453194373,0.0837430956680936,0.133887443489171,0.188138025624553,0.183791838257007,0.135204101313562,0.0837555181801506,0.0418924730011068,0.0246220006356761,0.0126372533271213,0.00558306233412365,0.00269293388526162,0.000838937621072475,0.000256677101707885,6.66182525259501e-05,6.29324201949771e-06
"8",1998,1,1,0,0,6898,2.80340014096805e-07,2.21093751511726e-06,3.03635804971598e-05,5.27952520100329e-05,0.0023176856571003,0.00613650913169521,0.00757790533578827,0.0249252682323474,0.0588262008957022,0.0865618938605045,0.123915481318128,0.163619739494111,0.183745304973144,0.152020635882411,0.0924695558150861,0.0486978997840698,0.0241856917568057,0.0131698941992082,0.00683950239392489,0.00340213975638389,0.000811965715399868,0.000645043351836068,3.02453627481976e-05,1.57869735676252e-05
"9",1999,1,1,0,0,9171,5.13998935442369e-05,5.41340140288262e-05,6.22045409411515e-05,0.000167561734627328,0.00142973451043515,0.00881672209163757,0.0107725299191381,0.0622535318086105,0.10845680865247,0.110530830125039,0.11959552660534,0.132934211756083,0.139369221846884,0.124438665085861,0.0844998441973077,0.0505382771895679,0.024774614049799,0.0122602362603298,0.00511848999863653,0.00250880966142865,0.000980667132801115,0.000278471400419327,4.6486966202031e-05,6.10205588678338e-05
"10",2000,1,1,0,0,9965,2.88102844176379e-05,3.47412516964004e-05,0.00060206006325015,3.21867110330723e-05,0.00122428366591387,0.0046817877540136,0.0091862018654308,0.0386646684572901,0.0943395115767118,0.176754449937491,0.193106338776734,0.146187224622233,0.119985149043285,0.085450424384272,0.0565630582807831,0.0346035756401035,0.0190748119522136,0.0115376461904563,0.00486855782237285,0.00203294419644235,0.000650003686713439,0.000306507184034255,2.55760942537293e-05,5.94805588546424e-05
"11",2001,1,1,0,0,10580,1.95643913142719e-05,0,0.00020626486012638,0.000581946273187529,0.00166314123960789,0.00441769865831853,0.00873351253014834,0.0227161435107213,0.0586846041829591,0.112478040031242,0.168839170182031,0.204165525444558,0.179321043265944,0.114488382428599,0.0588781752139234,0.0314737608385113,0.016407578943875,0.00934440229417549,0.00453442787713956,0.00230232472335387,0.000567440658377842,0.000148591249330189,2.8261202554844e-05,0
"12",2002,1,1,0,0,11603,3.54463888868446e-05,6.47839228892345e-06,0.000100210353669989,0.000537609226897116,0.00245453724563462,0.0173652528374006,0.0280703751918122,0.0528757629823737,0.0851276565601651,0.116144143858334,0.147353360522668,0.173749656608156,0.162100109211584,0.111938719921873,0.0553052253780691,0.0254942478847379,0.0114124540275005,0.00559840016354007,0.00265376659360437,0.00110116181373248,0.000387615875162654,0.000136116486418838,4.23281406114053e-05,9.36433487830808e-06
"13",2003,1,1,0,0,14475,4.04402462546756e-05,1.22159247712143e-05,5.0483427598718e-05,8.47728519306952e-05,0.000228177893796422,0.00381771890644574,0.0122476453367684,0.0368126341267364,0.0844838728394643,0.134545269828399,0.156677114847014,0.158406393919546,0.149729660255787,0.120452589525366,0.0730825755423202,0.0392010866635596,0.0176211736151664,0.00771941206674005,0.00321185422433299,0.00115200162472976,0.000368078375181639,4.23190212994313e-05,1.04585672512834e-05,2.0503695399188e-06
"14",2004,1,1,0,0,12144,8.88462452979992e-06,2.28562693395774e-05,0.000150613257437049,0.000200013692345079,0.00145672493319979,0.0086647416380473,0.0142055028619191,0.0207049073633472,0.0596537263591368,0.119165110747601,0.173209234567315,0.197240207274871,0.162464410575289,0.106444410624601,0.0606512892663917,0.0366387030821698,0.0205422658940011,0.010400116297694,0.00525405205355493,0.00217318831531857,0.00053303748836174,0.000180863564654368,1.01784458627774e-05,2.49608030126598e-05
