"","YEAR","Seas","FltSvy","Gender","Part","Ageerr","Lgin_lo","Lgin_hi","Nsamp","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1",1984,7,2,0,0,0,1,120,264,0.00973006153855464,0.126261192181831,0.440196765856918,0.0866636978571027,0.0870235789696547,0.068144200649779,0.0592099361890124,0.0653352840648642,0.0364367391630667,0.0153652532545849,0.00563329027463155
"2",2000,7,2,0,0,0,1,120,355,0,0.231395989609973,0.11489037707207,0.164862761346791,0.246355120282282,0.155195676338575,0.0589034214488492,0.0108209653924921,0.0116759606464488,0.00243080170623489,0.00346892615628431
"3",2001,7,2,0,0,0,1,120,366,0,0.290365522715648,0.24206107243171,0.190966094963781,0.0896761325133819,0.087823449833473,0.0682396567603692,0.0231557485766303,0.00538973320524536,0.000800190661744371,0.00152239833801706
"4",2002,7,2,0,0,0,1,120,364,0.00046746179609524,0.0778684665315255,0.189990757949595,0.307751147875179,0.244286778847465,0.0731900246049385,0.0597710737088948,0.036367979345194,0.00780729332908272,0.00187701873557594,0.000621997276453872
"5",2003,7,2,0,0,0,1,120,363,0,0.17105176006976,0.159400084610948,0.245162467325906,0.214149256892733,0.119904756940926,0.0421314535498111,0.0289753258168997,0.014851742594307,0.00319155121804692,0.0011816009806633
"6",2004,7,2,0,0,0,1,120,361,0,0.142283230035655,0.164546455916845,0.274175009651436,0.127537767720402,0.133416975504366,0.0943330373674908,0.0360440607491323,0.0184291974311329,0.00654788265506596,0.00268638296847411
"7",2005,7,2,0,0,0,1,120,360,0,0.175604735322107,0.240712594947666,0.208368810481157,0.126829847796456,0.0651075450480065,0.083929267289046,0.0573758816652673,0.0247573007788602,0.00955847340503951,0.00775554326639434
"8",2006,7,2,0,0,0,1,120,354,0,0.316765924271387,0.142746201604947,0.169849695472486,0.121624337438011,0.0956855360398423,0.0633834670897559,0.0474225810895121,0.028952843372619,0.00964131462171663,0.00392809899972349
"9",2007,7,2,0,0,0,1,120,368,0,0.691467992686983,0.0970535735873169,0.0693059134708432,0.0452047666987121,0.0462423040787004,0.0185899901608148,0.0152424555742138,0.00809499976464569,0.00533524146177823,0.00346276251599164
"10",2008,7,2,0,0,0,1,120,338,0,0.205531767395979,0.446124147831379,0.147526941225085,0.0881943111395965,0.050837597756306,0.0306081282928754,0.010538645921068,0.00977729554929478,0.00568925995082865,0.00517190493758807
"11",2009,7,2,0,0,0,1,120,360,0,0.453169321883318,0.18787164167604,0.232655999736717,0.066019171337885,0.0288342553543454,0.0147258669442205,0.00902011416048376,0.00441079324256784,0.00166860280583187,0.00162423285859101
"12",2010,7,2,0,0,0,1,120,405,0,0.0482098309417149,0.479414251027503,0.177707685130013,0.201431248378429,0.0631704169985205,0.0151302373895049,0.0082603795603912,0.00393194086493482,0.0017610049083929,0.000983004800596159
"13",2011,7,2,0,0,0,1,120,368,0,0.307331185410978,0.0718728072885587,0.375921673324077,0.110817226347094,0.0928487538312269,0.0284179175386424,0.0070237294088964,0.00262330383561251,0.00131985066108669,0.00182355235382649
"14",2012,7,2,0,0,0,1,120,356,0,0.362792357886109,0.235311309846587,0.0596004062494532,0.23750784138154,0.0627121582474654,0.0302634866276545,0.00745258320310215,0.00218366821507559,0.00149267830042026,0.000683510042592666
"15",2013,7,2,0,0,0,1,120,354,0,0.0970477764713921,0.432745448688312,0.181283797474658,0.107980555639856,0.113637175568268,0.0509294968241199,0.0117127004775918,0.00333269625881095,0.000827867473633778,0.000502485123357899
"16",2014,7,2,0,0,0,1,120,373,0,0.276802801473544,0.191370062786312,0.236647255232712,0.196701539942753,0.0484144475790276,0.0366073065230988,0.00969501145882045,0.00203751053823943,0.000665285228853555,0.00105877923663952
"17",2015,7,2,0,0,0,1,120,354,0,0.0580660069208123,0.432138827341753,0.203663849866166,0.192991297510857,0.0805680410541939,0.0185049718943713,0.0110713942978654,0.00234098877595253,0.000378804253902868,0.000275818084126447
"18",2016,7,2,0,0,0,1,120,376,0,0.108613548586556,0.0947981462241817,0.356014258046786,0.222003299103531,0.149631124125748,0.0519255784207435,0.0118295763651828,0.00349646212169211,0.00116328954264737,0.000524717462931424
"19",2017,7,2,0,0,0,1,120,481,0,0.0991080780531805,0.156648919765572,0.153966374729081,0.305963237769062,0.170844940901583,0.0844247881293631,0.0242184025638148,0.00263059950111835,0.0018734911540168,0.000321167433208295
"20",2018,7,2,0,0,0,1,120,364,0,0.0808552301304861,0.116930250099495,0.280475063261613,0.16253199411775,0.240919620342996,0.0799894230977022,0.0343678055065001,0.00248559333895506,0.00122377710311758,0.000221243001385301
"21",2019,7,2,0,0,0,1,120,479,0,0.595065834614367,0.0661929975100548,0.0737522255277909,0.0793972243163074,0.0666024599464432,0.0812981542295379,0.0301098096058321,0.00610604934431629,0.000832938255565964,0.000642306649784417
"22",2021,7,2,0,0,0,1,120,476,0.00302844903978455,0.212688413357727,0.136000236001445,0.303907931340012,0.166797538919674,0.066502311038892,0.0529911292829312,0.0399500934422839,0.0139320045272921,0.00370751885667486,0.000494374193283907
"23",2022,7,2,0,0,0,1,120,481,6.20993237033366e-05,0.213382051545249,0.217798344062309,0.178409615707922,0.23278102784711,0.0752875678555078,0.0359924359581641,0.0251318291498947,0.0133675121639758,0.00591176045293801,0.00187575593322491
"24",2023,7,2,0,0,0,1,120,438,0,0.276348047658009,0.29119035562421,0.173245705379036,0.120950024100065,0.0949723768312006,0.0222368010748871,0.0114198266753478,0.0069302260991238,0.00154654806473414,0.00116008849338701
"25",2024,7,2,0,0,0,1,120,335,0,0.181647798968622,0.286234717108065,0.285700382598347,0.136193465435652,0.0609915080277345,0.0320983261499661,0.0104807426890498,0.00198377826009469,0.00303417190106579,0.00163510886140274
