"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",1982,7,2,0,0,313,6.04522189346566e-05,0.0108473120621245,0.0320223868649879,0.00803590579867723,0.0148965260944887,0.0818223332346862,0.113753543933494,0.0750444138873555,0.1434025961176,0.125952340145325,0.122288714302598,0.111851918245429,0.0828749060023254,0.0448608635622741,0.0198457384465222,0.00852661645539851,0.00270115829127143,0.000853242627358682,0.000359031709149388,0,0,0,0,0
"2",1983,7,2,0,0,255,0.000544652734487062,0.135889137047607,0.136485766780875,0.020962456033832,0.0120732411134247,0.054189786085384,0.0498123401910064,0.0411255323115079,0.103959803094708,0.0978666938032949,0.101808767113336,0.0856143988814073,0.0699865945029934,0.0494053066582343,0.0246672043538212,0.0114692485237688,0.00232174830918988,0.0014290152147137,0.000300175444552153,8.81318018565562e-05,0,0,0,0
"3",1984,7,2,0,0,264,0.000527491341615637,0.0153887202610351,0.0130477538985753,0.0477814636907917,0.191806679739121,0.200861002598859,0.0723707868751896,0.033510361575956,0.0443055782598264,0.0479911753660221,0.0716967888737983,0.0800535967262491,0.0734073877112345,0.0490919059747847,0.0316521981196898,0.0145463750992755,0.00790973517845679,0.00318221375773323,0.000751300971942849,0.000117483979843537,0,0,0,0
"4",1985,7,2,0,0,345,0.000260900324360273,0.0415251745304365,0.117268427420911,0.15485437440196,0.0379502995478456,0.0690975260885872,0.0948081779588768,0.138001690186697,0.111181135420926,0.0400678424477006,0.0283537435340038,0.032024912143423,0.0405684231259784,0.0397273989225747,0.0292424922363315,0.0149702917096886,0.00654965825150533,0.0022483916842678,0.00100154990957897,0.000297590154346908,0,0,0,0
"5",1986,7,2,0,0,349,0.00152031003572493,0.0389535867681076,0.0409727813515879,0.0165365866172887,0.153333647681528,0.198325773918118,0.113954193519906,0.049151046334631,0.0694945721899482,0.0868689157359098,0.078064577565269,0.0406687055485477,0.0269874173145842,0.0293629693869168,0.0239775275998153,0.0171325419383828,0.00769446910107235,0.00478688070682594,0.00137545075694277,0.0008380459288925,0,0,0,0
"6",1987,7,2,0,0,339,0,0.00810316365951751,0.0459193921995471,0.0434783422564534,0.0544130151375343,0.13819659873616,0.094453838119987,0.131986895189092,0.14043462031036,0.078535102798497,0.0564926332976728,0.0611218025297347,0.0591304656553262,0.0385981759876097,0.019996257974841,0.015539802232174,0.00673556759305487,0.0046088796828921,0.00156405100771314,0.000648661454156135,0,4.27341776772499e-05,0,0
"7",1988,7,2,0,0,339,0,0.00572581409348027,0.0147410048536541,0.0196002872335618,0.0444407852598758,0.0753925798152048,0.103119909680733,0.100691703997931,0.141173521284548,0.130450789620436,0.111285319414755,0.0849900003179484,0.057141196847173,0.0421321976582253,0.0295240535504568,0.0249158001539854,0.00771604943565911,0.00341712749133651,0.00246438497197723,0.000670711678484485,2.9825613953985e-05,0.000376937026620381,0,0
"8",1989,7,2,0,0,293,0.000261706766741951,0.017372049112001,0.0458605978762526,0.0111628472472111,0.011143602069356,0.0194782545955032,0.0503105385813269,0.0591387353290864,0.0874524504033987,0.118758495566173,0.129589467190709,0.114618661209961,0.0943215406519235,0.0856647193971714,0.0672167478275362,0.033874728422998,0.0245603152565837,0.0141635673834216,0.00898205026001788,0.00606892485262698,0,0,0,0
"9",1990,7,2,0,0,329,0.00451651731330383,0.116427405709437,0.169617228217543,0.0467428529008504,0.0584596534278116,0.0943064054739102,0.0725814879511333,0.0424709808349136,0.0347823263536851,0.0404002144188817,0.0621357632553087,0.0745613585456907,0.0515353224400384,0.0482638496949484,0.0325464127895692,0.023080507840221,0.0147393051100409,0.00581431440659385,0.00467504116340335,0.00189531906131129,0.000447733091404167,0,0,0
"10",1991,7,2,0,0,313,0.000886080566381633,0.0709844930314147,0.0922323136790629,0.0613017997105097,0.11460981173399,0.21824428775344,0.140902934809172,0.0544302539196337,0.0414641692094094,0.0430725137069202,0.0343687347231564,0.0297457117427233,0.0283879480111648,0.0246469544558618,0.015146686753215,0.0156602936739172,0.00687520798215697,0.00283645857564411,0.00297480555451431,0.000984302051927896,0.000244238355783485,0,0,0
